but while the new york stock exchange did n't fall ___
as a group stock funds held N N of assets ___
that was modestly higher than the N N and N ___
also persistent redemptions would force some fund managers to dump ___
but a strong level of investor withdrawals is much more ___
a major reason is that investors already have sharply scaled ___
<unk> sales have rebounded in recent months but monthly net ___
there 's not nearly as much <unk> said john <unk> ___
many fund managers argue that now 's the time to ___
vincent <unk> manager of the $ N billion wellington fund ___
and today he 'll be looking to buy drug stocks ___
fidelity 's mr. lynch for his part snapped up southern ___
if the market drops further today he said he 'll ___
if they <unk> stocks like that he said it presents ___
major mutual-fund groups said phone calls were <unk> at twice ___
they hope to avoid the <unk> phone lines and other ___
fidelity on saturday opened its N <unk> investor centers across ___
in addition east coast centers will open at N edt ___
t. rowe price associates inc. increased its staff of phone ___
the <unk> group noted that some investors moved money from ___
but most investors seemed to be in an information mode ___
and vanguard among other groups said it was adding more ___
in an unusual move several funds moved to calm investors ___
we view friday 's market decline as offering us a ___
several fund managers expect a rough market this morning before ___
some early selling is likely to stem from investors and ___
stock funds have averaged a staggering gain of N N ___
<unk> <unk> who runs shearson lehman hutton inc. 's $ ___
but she expects prices to rebound soon and is telling ___
nevertheless ms. <unk> said she was <unk> with phone calls ___
half of them are really scared and want to sell ___
she added if they all were bullish i 'd really ___
the backdrop to friday 's slide was <unk> different from ___
two years ago unlike today the dollar was weak interest ___
from the investors ' standpoint institutions and individuals learned a ___
this time i do n't think we 'll get a ___
newport corp. said it expects to report <unk> earnings of ___
the maker of scientific instruments and laser parts said orders ___
a spokesman added that sales in the current quarter will ___
<unk> from the strike by N machinists union members against ___
peter <unk> vice president for planning at the phoenix ariz. ___
mr. <unk> said boeing told america west that the N ___
boeing is also supposed to send to america west another ___
at this point no other america west flights including its ___
nevertheless the company 's reaction <unk> the <unk> effect that ___
it also is sure to help the machinists put added ___
i just do n't feel that the company can really ___
i do n't think their customers would like it very ___
america west though is a smaller airline and therefore more ___
i figure that american and united probably have such a ___
indeed a random check friday did n't seem to indicate ___
southwest airlines has a boeing N set for delivery at ___
it 's so close to completion boeing 's told us ___
a spokesman for amr corp. said boeing has assured american ___
american is preparing to take delivery of another N in ___
in seattle a boeing spokesman explained that the company has ___
meanwhile supervisors and <unk> employees have been trying to finish ___
as of friday four had been delivered and a fifth ___
no date has yet been set to get back to ___
we want to make sure they know what they want ___
the investment community for one has been anticipating a <unk> ___
though boeing 's stock price was battered along with the ___
the market has taken two views that the labor situation ___
boeing 's shares fell $ N friday to close at ___
but mr. baker said he thinks the earliest a pact ___
still he said it 's possible that the strike could ___
last week boeing chairman frank <unk> sent striking workers a ___
but mr. baker called the letter and the company 's ___
he added that the company <unk> the union 's resolve ___
in separate developments talks have broken off between machinists representatives ___
the union is continuing to work through its expired contract ___
it had planned a strike vote for next sunday but ___
united auto workers local N which represents N workers at ___
and boeing on friday said it received an order from ___
the planes long range versions of the <unk> <unk> will ___
a boeing spokeswoman said a delivery date for the planes ___
<unk> ltd. said its utilities arm is considering building new ___
<unk> <unk> <unk> 's senior vice president finance said its ___
but we would n't go into them alone and canadian ___
<unk> we 'd like to be the operator of the ___
our long suit is our proven ability to operate power ___
mr. <unk> would n't offer <unk> regarding <unk> 's proposed ___
britain 's government plans to raise about # N billion ___
the planned electric utility sale scheduled for next year is ___
under terms of the plan independent <unk> would be able ___
canadian utilities had N revenue of c$ N billion mainly ___
there seems to be a move around the world to ___
this is a real thrust on our utility side he ___
canadian utilities is n't alone in exploring power generation opportunities ___
we 're certainly looking at some power generating projects in ___
mr. <unk> said enron is considering building <unk> power plants ___
pse inc. said it expects to report third earnings of ___
in the year-ago quarter the designer and operator of <unk> ___
the company said the improvement is related to additional <unk> ___
<unk> <unk> flights are $ N to paris and $ ___
in a centennial journal article oct. N the fares were ___
diamond <unk> offshore partners said it had discovered gas offshore ___
the well <unk> at a rate of N million cubic ___
diamond <unk> is the operator with a N N interest ___
diamond <unk> offshore 's stock rose N cents friday to ___
<unk> & broad home corp. said it formed a $ ___
the partnership <unk> & broad land development venture limited partnership ___
<unk> & broad a home building company declined to identify ___
the land to be purchased by the joint venture has ___
the partnership runs the risk that it may not get ___
there are really very few companies that have adequate capital ___
typically developers option property and then once they get the ___
by setting up the joint venture <unk> & broad can ___
the company is putting up only N N of the ___
this is one of the best ways to assure a ___
when the price of plastics took off in N quantum ___
the timing of quantum 's chief executive officer john <unk> ___
the company <unk> much of the chemical industry as annual ___
mr. <unk> said of the boom it 's going to ___
but now prices have <unk> and quantum 's profit is ___
some securities analysts are looking for no better than break-even ___
the stock having lost nearly a quarter of its value ___
to a degree quantum represents the new times that have ___
having just passed through one of the most profitable periods ___
pricing cycles to be sure are nothing new for plastics ___
and the financial decline of some looks steep only in ___
we were all wonderful heroes last year says an executive ___
at quantum which is based in new york the trouble ___
once known as national <unk> & chemical corp. the company ___
mr. <unk> N years old declined to be interviewed for ___
quantum 's lot is mostly tied to polyethylene <unk> used ___
in the u.s. polyethylene market quantum has claimed the largest ___
but its competitors including dow chemical co. union carbide corp. ___
when the price of polyethylene moves a mere penny a ___
in recent months the price of polyethylene even more than ___
benchmark grades which still sold for as much as N ___
meanwhile the price of <unk> the chemical building block of ___
that <unk> <unk> quantum badly because its own plants cover ___
by many accounts an early hint of a price rout ___
china which had been putting in huge orders for polyethylene ___
<unk> that excess polyethylene would soon be <unk> around the ___
kenneth mitchell director of dow 's polyethylene business says producers ___
they recently announced increases of a few cents a pound ___
no one knows however whether the new posted prices will ___
one <unk> is george <unk> a <unk> analyst at oppenheimer ___
noting others ' estimates of when price increases can be ___
he argues that efforts to firm up prices will be ___
a quick turnaround is crucial to quantum because its cash ___
the company is trying to carry out a three-year $ ___
at the same time its annual payments on long-term debt ___
quantum described the payout at the time as a way ___
some analysts saw the payment as an effort also to ___
whether a cash crunch might eventually force the company to ___
some viewed his response that company directors review the dividend ___
but others came away thinking he had given something less ___
in any case on the day of the meeting quantum ___
on top of everything else quantum <unk> a disaster at ___
after an explosion <unk> the plant in june the company ___
this human toll adds the most painful <unk> yet to ___
until this year the company had been steadily lowering its ___
a prolonged production halt at the plant could introduce another ___
when a plant has just been running flat out to ___
but the numbers become <unk> and subject to <unk> between ___
you say you could have sold x percent of this ___
quantum hopes the morris plant where limited production got under ___
the plant usually accounts for N N to N N ___
the plant expansion should strengthen the company 's <unk> in ___
by lifting <unk> production the expansion will also lower the ___
quantum is also tightening its grip on its one large ___
through a venture with its investment banker first boston corp. ___
some analysts speculate the weakening stock may yet attract a ___
the name <unk> in rumors is british petroleum co. which ___
asked about a bid for quantum a <unk> spokesman says ___
rjr nabisco inc. is <unk> its division responsible for buying ___
a spokesman for the new york-based food and tobacco giant ___
the spokesman said rjr is discussing its <unk> plans with ___
we found with the size of our media purchases that ___
an executive close to the company said rjr is spending ___
the spokesman said the broadcast unit will be <unk> dec. ___
the broadcast group had been based in new york until ___
one employee with the group said rjr moved N employees ___
he said the company hired three more buyers for the ___
the rjr spokesman said the company moved the N employees ___
the studies on closing the unit could n't be completed ___
the group 's president peter <unk> was n't in his ___
the u.s. which is <unk> its <unk> quotas is <unk> ___
meanwhile the u.s. has negotiated a significant cut in japan ___
brazil similar to mexico and south korea is expected to ___
brazil and venezuela are the only two countries that have ___
in recent years u.s. steelmakers have supplied about N N ___
of the remaining N N needed the <unk> negotiations <unk> ___
other countries that do n't have formal steel quotas with ___
some of these countries have in recent years made informal ___
the bush administration earlier this year said it would extend ___
it also said it would use that <unk> year period ___
the u.s. termed its plan a trade <unk> program despite ___
mexico which was one of the first countries to conclude ___
south korea which had N N under the previous quotas ___
that increase rises to slightly more than N N of ___
meanwhile brazil is expected to increase its allowance from the ___
the ec and japan the u.s. 's largest steel suppliers ___
the ec steel industry which has been coping with strong ___
japan has been shipping steel to total about N N ___
in the recent talks the ec had its quota increased ___
but its quota has been as high as N N ___
japan however has agreed to cut its quota to about ___
japan the ec brazil mexico and south korea provide about ___
the balance is supplied by a host of smaller exporters ___
the u.s. had about an extra N N of the ___
that was essentially made up of a N N increase ___
negotiators from the white house trade office will repeat these ___
these <unk> <unk> increases to the steel quota program are ___
<unk> inc. expects fiscal second-quarter earnings to trail N results ___
<unk> a telecommunications company had net income of $ N ___
george <unk> chairman and chief executive officer said in an ___
the lower results mr. <unk> said reflect a 12-month decline ___
although mr. <unk> expects that line of business to strengthen ___
<unk> among those is the company 's <unk> into the ___
within the next year <unk> expects to place N fax ___
<unk> will provide a credit-card reader for the machines to ___
mr. <unk> said <unk> should realize a minimum of $ ___
<unk> has also developed an automatic call <unk> that will ___
automatic call processors will provide that system for virtually any ___
the company will also be producing a new line of ___
mr. <unk> estimated that the processors and convenience phones would ___
britain 's retail price index rose N N in september ___
<unk> medical inc. said it adopted a shareholders ' rights ___
the company said the plan was n't adopted in response ___
the rights allow shareholders to purchase <unk> stock at a ___
measuring <unk> may soon be replaced by <unk> in the ___
procter & gamble co. plans to begin testing next month ___
the move stems from <unk> learned in japan where local ___
it also marks p&g 's growing concern that its japanese ___
the cincinnati consumer-products giant got clobbered two years ago in ___
they do n't want to get caught again says one ___
retailers in phoenix ariz. say p&g 's new <unk> detergent ___
a p&g spokeswoman confirmed that shipments to phoenix started late ___
she said the company will study results from this market ___
the company introduced a <unk> <unk> <unk> in japan after ___
when attack hit the shelves in N p&g 's share ___
with the help of <unk> <unk> p&g 's share is ___
while the japanese have embraced the compact packaging and convenience ___
the company may have chosen to market the product under ___
with <unk> however it is n't always easy to persuade ___
in the early 1980s p&g tried to launch here a ___
but the product which was n't as concentrated as the ___
p&g and others also have tried repeatedly to hook consumers ___
but p&g contends the new <unk> is a unique formula ___
and retailers are expected to <unk> the product in part ___
when shelf space was cheap bigger was better says <unk> ___
but with so many brands <unk> for space that 's ___
if the new <unk> sells well the trend toward smaller ___
then retailers will probably push the <unk> brands out altogether ___
competition is bound to get tougher if <unk> <unk> a ___
to be sure <unk> would n't have an easy time ___
<unk> officials previously have said they are interested in selling ___
some believe p&g 's interest in a <unk> detergent goes ___
this is something p&g would do with or without <unk> ___
with economic tension between the u.s. and japan worsening many ___
they expected a new <unk> of demands that japan do ___
instead they got a discussion of the need for the ___
mrs. hills ' first trip to japan as america 's ___
mr. mosbacher called for concrete results by next spring in ___
he said such results should be <unk> in dollars and ___
but mrs. hills speaking at a breakfast meeting of the ___
she added that she expected perhaps to have a down ___
how such remarks translate into policy wo n't become clear ___
american and japanese officials offered several theories for the difference ___
others said the bush administration may feel the rhetoric on ___
and some said it reflected the growing debate in washington ___
asked to compare her visit to mr. mosbacher 's mrs. ___
yet more than one american official who sat in with ___
i think my line has been very consistent mrs. hills ___
i am painted sometimes as <unk> perhaps because i have ___
i feel committed to the program of opening markets and ___
when she met the local press for the first time ___
she <unk> <unk> business practices that the u.s. government has ___
but her main thrust was to promote the importance of ___
she said the trade <unk> was mainly due to <unk> ___
at her news conference for japanese reporters one economics journalist ___
my impression was that you would be a scary old ___
but i am relieved to see that you are beautiful ___
mrs. hills ' remarks did raise questions at least among ___
the u.s. share of the japanese market has been stuck ___
many americans have interpreted a N agreement as <unk> u.s. ___
at one of her news conferences mrs. hills said i ___
i will not enter into an agreement that <unk> to ___
traditional industries inc. said it expects to report a net ___
the seller of photographic products and services said it is ___
traditional declined to estimate the amount of the loss and ___
in the year ended june N N traditional reported net ___
in the latest nine months net income was $ N ___
separately the company said it would file a delayed <unk> ___
it said the delay resulted from difficulties in <unk> its ___
under an agreement filed in federal court in august to ___
information international inc. said it was sued by a buyer ___
a spokesman for information international said the lawsuit by two ___
information international said it believes that the complaints filed in ___
the units that filed the suit are <unk> newspapers corp. ___
<unk> corp. completed the sale of its a. <unk> & ___
as <unk> 's core business of <unk> retailing grows a ___
a spokeswoman said <unk> operates a total of seven stores ___
the oil industry 's <unk> profits could <unk> through the ___
major oil companies in the next few days are expected ___
the gasoline picture may improve this quarter but chemicals are ___
the industry is seeing a softening somewhat in volume and ___
that change will obviously impact third and fourth quarter earnings ___
but securities analysts say phillips will be among the companies ___
so too many analysts predict will exxon corp. chevron corp. ___
typical is what happened to the price of <unk> a ___
it has plunged N N since july to around N ___
a year ago <unk> sold for N cents <unk> at ___
beginning in <unk> prices began accelerating as a growing u.s. ___
now greatly increased supplies are on the market while the ___
refining margins were so good in the third quarter of ___
oil company refineries ran flat out to prepare for a ___
in addition crude oil prices were up some from a ___
refiners say margins picked up in september and many industry ___
during the N second half many companies posted record gasoline ___
crude oil production may turn out to be the most ___
prices averaging roughly $ N a barrel higher in the ___
demand has been much stronger than anticipated and it typically ___
we could see higher oil prices this year said <unk> ___
that will translate into sharply higher production profits particularly compared ___
while oil prices have been better than expected natural gas ___
in the third quarter they averaged about N N less ___
last summer was notable for a heat wave and drought ___
this summer on the other hand had <unk> weather than ___
we 've been very disappointed in the performance of natural ___
the lagging gas price is not going to assist fourth ___
going into the fourth quarter natural gas prices are anywhere ___
for instance natural gas currently produced along the gulf coast ___
the bush administration trying to blunt growing demands from western ___
most of the western european members of <unk> committee on ___
they plan to press specifically for a <unk> of rules ___
but the bush administration says it wants to see evidence ___
to make its point it is challenging the italian government ___
the london sunday times which first reported the u.s. concerns ___
a state department spokesman acknowledged that the u.s. is discussing ___
italian president <unk> <unk> promised a quick investigation into whether ___
president bush called his attention to the matter during the ___
olivetti has denied that it violated cocom rules <unk> that ___
although the <unk> of these sales is still an open ___
it seems to me that a story like this breaks ___
the bush administration has sent <unk> signals about its <unk> ___
last summer mr. bush moved the administration in the direction ___
but more recently the pentagon and the commerce department openly ___
however these agencies generally agree that the west should be ___
there 's no evidence that the soviet program to illegally ___
salomon brothers international ltd. a british subsidiary of salomon inc. ___
the move closely follows a similar offer by salomon of ___
under the latest offer hk$ N million us$ N million ___
the N million warrants will be priced at hk$ N ___
in trading on the stock exchange of hong kong the ___
at this price the shares would have to rise above ___
while hong kong companies have in the past issued warrants ___
salomon will cover the warrants by buying sufficient shares or ___
bankers said warrants for hong kong stocks are attractive because ___
the hong kong telecommunications warrants should be attractive to buyers ___
financial corp. of santa barbara filed suit against former stock ___
in a suit filed in federal court thursday the s&l ___
financial corp. purchased the bonds the suit alleged after mr. ___
<unk> hotels was controlled by mr. boesky who currently is ___
officials at drexel said they had n't seen the suit ___
in addition to $ N million <unk> damages the suit ___
also named in the suit is ivan f. boesky corp. ___
financial corp. said it agreed to buy the bonds after ___
shortly before the visit mr. boesky and drexel <unk> had ___
financial corp. purchased the bonds in at least N different ___
ideal basic industries inc. said its directors reached an agreement ___
<unk> the north american holding company of swiss concern <unk> ___
but <unk> 's first offer would have given ideal 's ___
ideal 's directors rejected that offer although they said they ___
under the agreement <unk> will own N N of the ___
ideal 's current operations will represent about N N of ___
the transaction is subject to a definitive agreement and approval ___
ideal said it expects to complete the transaction early next ___
while corn and soybean prices have slumped well below their ___
and they 're likely to stay that way for months ___
for one thing even with many farmers <unk> more winter ___
and if rain does n't fall soon across many of ___
also supporting prices are expectations that the soviet union will ___
by next may N stocks of u.s. wheat to be ___
stocks were N million <unk> on may N of this ___
in response to <unk> domestic supplies agriculture secretary <unk> <unk> ___
the government estimates that the new plan will boost production ___
it now estimates production for next year at just under ___
but the full effect on prices of the winter wheat ___
until then limited stocks are likely to keep prices near ___
on the chicago board of trade friday wheat for december ___
in theory at least tight supplies next spring could leave ___
such a situation can <unk> havoc as was shown by ___
in july the <unk> ordered <unk> <unk> s.p a. to ___
the exchange said it feared that some members would n't ___
<unk> has denied it was trying to manipulate the soybean ___
<unk> hot dry weather across large portions of the great ___
for example in the oklahoma <unk> N N or more ___
that figure <unk> to about N N in <unk> portions ___
the soviet union has n't given any clear indication of ___
wheat prices will increasingly <unk> off of soviet demand in ___
orange <unk> traders will be watching to see how long ___
late thursday after the close of trading the market received ___
it was near the low range of estimates at N ___
however as expected brazil waited for the crop estimate to ___
friday 's <unk> selling of futures contracts erased whatever supportive ___
it settled with a loss of N cents at $ ___
brazilian <unk> after a delay caused by drought at the ___
brazil wants to stimulate demand for its product which is ___
the price cut one analyst said appeared to be aimed ___
it 's a <unk> product and the strong dollar has ___
new york futures prices have dropped significantly from more than ___
barring a cold <unk> or other crop problems in the ___
although some analysts look for profit-taking in the wake of ___
i would continue to look for a stable crude market ___
friday capped a week of steadily rising crude oil prices ___
on the new york mercantile exchange west texas intermediate crude ___
on european markets meanwhile spot prices of north sea <unk> ___
this market still wants to go higher said <unk> <unk> ___
he predicted that the november contract will reach $ N ___
there has been little news to account for such <unk> ___
analysts generally cite a lack of bearish developments as well ___
there also are <unk> reports that the soviet union is ___
many traders <unk> a tightening of near-term supplies particularly of ___
if a hostile <unk> emerges for saatchi & saatchi co. ___
financing for any takeover attempt may be <unk> in the ___
but the beleaguered british advertising and consulting giant which last ___
last week saatchi 's largest shareholder <unk> asset management said ___
and carl spielvogel chief executive officer of saatchi 's big ___
the executive close to saatchi & saatchi said that if ___
but otherwise it would undoubtedly come back with an offer ___
the executive said any buy-out would be led by the ___
mr. spielvogel is n't part of the board nor are ___
the executive did n't name any price but securities analysts ___
the executive denied speculation that saatchi was bringing in the ___
that speculation <unk> friday as industry executives <unk> the appointment ___
mr. <unk> formerly chief executive of the pharmaceutical research firm ___
asked about the speculation that mr. <unk> has been hired ___
separately several saatchi agency clients said they believe the company ___
it has n't had any impact on us nor do ___
john <unk> director of advertising at painewebber inc. a saatchi ___
we are n't going to change agencies because of a ___
executives at backer spielvogel client <unk> inc. as well as ___
executives at prudential-bache securities inc. a backer spielvogel client that ___
mr. spielvogel had said that prudential-bache was prepared to finance ___
california 's <unk> federal bank awarded its $ N million ___
the account was previously handled by davis ball & <unk> ___
royal crown <unk> co. has ended its relationship with the ___
the account had billed about $ N million in N ___
as expected young & rubicam inc. along with two senior ___
the government has charged that they <unk> <unk> officials to ___
a spokesman for the u.s. attorney 's office said <unk> ___
the <unk> group and bozell inc. agreed to establish a ___
bozell <unk> corp. as the new agency will be called ___
<unk> already owns korea first advertising co. that country 's ___
bozell joins backer spielvogel bates and ogilvy group as u.s. ___
citing a payment from a supplier and strong sales of ___
the maker of <unk> products said net income rose to ___
<unk> said its results were boosted by $ N million ___
<unk> said effects from <unk> the line may have a ___
a spokeswoman would n't elaborate but the company said the ___
<unk> <unk> benefited from robust sales of products that store ___
in the fiscal first half net was $ N million ___
robert g. <unk> N years old was elected a director ___
he retired as senior vice president finance and administration and ___
southmark corp. said that it filed part of its <unk> ___
the real estate and thrift concern operating under bankruptcy-law proceedings ___
the company asked for a <unk> extension sept. N when ___
southmark said it plans to <unk> its <unk> to provide ___
alan <unk> N years old was named chairman of this ___
mr. field also had been chairman of <unk> corp. resigning ___
mr. <unk> is executive vice president and chief financial officer ___
pcs also named <unk> r. <unk> N executive vice president ___
messrs. <unk> and <unk> are directors of <unk> which has ___
<unk> products inc. said a u.s. district court in boston ___
<unk> based in <unk> sweden had charged in a lawsuit ___
the patent is related to <unk> acid a <unk> extract ___
in its lawsuit <unk> is seeking unspecified damages and a ___
a <unk> spokesman said the products contribute about a third ___
in the year ended aug. N N <unk> earned $ ___
<unk> said the court 's ruling was issued as part ___
it said it is considering all of its options in ___
the <unk> company added that it plans to <unk> its ___
<unk> said that the court scheduled a conference for next ___
newspaper publishers are reporting mixed third-quarter results aided by favorable ___
adding to <unk> in the industry seasonal retail ad spending ___
in new york the <unk> teller and b. altman & ___
many papers throughout the country are also faced with a ___
until recently industry analysts believed <unk> in retail ad spending ___
all bets are off analysts say because of the shifting ___
improved paper prices will help offset weakness in <unk> but ___
for instance <unk> co. posted an N N gain in ___
<unk> 's N daily and N <unk> newspapers reported a ___
total advertising <unk> was modestly lower as <unk> volume increased ___
at usa today ad pages totaled N for the quarter ___
while usa today 's total paid ad pages for the ___
in the nine months <unk> 's net rose N N ___
revenue gained N N to $ N billion from $ ___
at dow jones & co. third-quarter net income fell N ___
net fell to $ N million or N cents a ___
the year-earlier period included a one-time gain of $ N ___
revenue gained N N to $ N million from $ ___
the drop in profit reflected in part continued softness in ___
ad <unk> at the journal fell N N in the ___
the publisher of the boston globe reported net of $ ___
william o. taylor the parent 's chairman and chief executive ___
third-quarter profit estimates for several companies are being strongly affected ___
after a supply crunch caused prices to rise N N ___
companies with daily newspapers in the northeast will need the ___
mr. <unk> at salomon brothers said he estimates that times ___
trouble on the east coast was likely offset by improved ___
new york times co. is expected to report lower earnings ___
times co. 's regional daily newspapers are holding up well ___
washington post co. is expected to report improved earnings largely ___
according to analysts profits were also helped by successful cost-cutting ___
the <unk> has faced heightened competition from rival time magazine ___
knight-ridder inc. is faced with continued uncertainty over the pending ___
however analysts point to positive advertising spending at several of ___
the miami market is coming back strong after a tough ___
general motors corp. in a series of moves that angered ___
in announcements to workers late last week gm effectively signed ___
gm is under intense pressure to close factories that became ___
the company currently using about N N of its north ___
just a month ago gm announced it would make an ___
now gm appears to be stepping up the pace of ___
one reason is mounting competition from new japanese car plants ___
another is that united auto workers union officials have signaled ___
gm officials want to get their strategy to reduce capacity ___
the problem however is that gm 's moves are coming ___
against that backdrop <unk> vice president stephen p. <unk> who ___
the auto maker 's decision to let word of the ___
gm officials told workers late last week of the following ___
that means two plants one in <unk> ontario and the ___
the <unk> will idle about N canadian assembly workers and ___
robert white canadian auto workers union president used the impending ___
but canadian auto workers may benefit from a separate gm ___
workers at plants in van <unk> calif. oklahoma city and ___
gm is studying whether it can build the new <unk> ___
that announcement left union officials in van <unk> and oklahoma ___
the van <unk> plant which employs about N workers does ___
jerry <unk> <unk> local president said the facility was asked ___
at the oklahoma city plant which employs about N workers ___
he said he believes gm has plans to keep building ___
at <unk> however the <unk> decision appears to <unk> <unk> ___
the <unk> plant was viewed as a model of <unk> ___
dissident <unk> members have used the <unk> plant as a ___
<unk> merieux s.a. of france said the canadian government raised ___
merieux said the government 's minister of industry science and ___
canadian investment rules require that big foreign takeovers meet that ___
the french company said the government gave it N days ___
both merieux and connaught are biotechnology research and vaccine manufacturing ___
alan <unk> executive vice president of investment canada which oversees ___
he said it has reached the same conclusions about some ___
this is n't a change in government policy this provision ___
mr. <unk> issued the ruling based on a recommendation by ___
spokesmen for merieux and connaught said they had n't been ___
investment canada declined to comment on the reasons for the ___
<unk> mehta a partner with mehta & <unk> a new ___
this has become a very <unk> deal concerning canada 's ___
mr. mehta said the move that could allow the transaction ___
the university is seeking to block the acquisition of connaught ___
while neither side will disclose its <unk> mr. mehta expects ___
some analysts such as murray <unk> of toronto-based <unk> <unk> ___
officials for the two concerns which are bidding c$ N ___
<unk> international inc. said it canceled plans for a <unk> ___
the company said it planned to offer an <unk> number ___
<unk> said market conditions led to the cancellation of the ___
the <unk> concern said however that in january N it ___
<unk> suspended its <unk> payment in october N and said ___
